dates,closing price,volume
2020-04-14,63.46149826049805,49408000
2020-04-15,63.12350082397461,33434000
2020-04-16,63.173500061035156,50362000
2020-04-17,64.1624984741211,38980000
2020-04-20,63.330501556396484,33910000
2020-04-21,60.81700134277344,43060000
2020-04-22,63.160499572753906,41848000
2020-04-23,63.81549835205078,31324000
2020-04-24,63.96549987792969,32792000
2020-04-27,63.79399871826172,32012000
2020-04-28,61.68349838256836,59026000
2020-04-29,67.0739974975586,75872000
2020-04-30,67.43299865722656,53378000
2020-05-01,66.03050231933594,41450000
2020-05-04,66.33999633789062,30080000
2020-05-05,67.55549621582031,33030000
2020-05-06,67.36499786376953,24308000
2020-05-07,68.62799835205078,27952000
2020-05-08,69.41850280761719,27738000
2020-05-11,70.16300201416016,28242000
2020-05-12,68.78700256347656,27812000
2020-05-13,67.46649932861328,36252000
2020-05-14,67.80650329589844,32062000
2020-05-15,68.65950012207031,34154000
2020-05-18,69.1969985961914,36448000
2020-05-19,68.67424774169922,25612000
2020-05-20,70.33599853515625,33108000
2020-05-21,70.13999938964844,27700000
2020-05-22,70.52100372314453,26188000
2020-05-26,70.85099792480469,41212000
2020-05-27,70.89199829101562,33716000
2020-05-28,70.83650207519531,33844000
2020-05-29,71.44599914550781,36418000
2020-06-01,71.59100341796875,24342000
2020-06-02,71.96099853515625,25562000
2020-06-03,71.81900024414062,25124000
2020-06-04,70.60900115966797,29686000
2020-06-05,71.91950225830078,34698000
2020-06-08,72.33049774169922,28084000
2020-06-09,72.80799865722656,28184000
2020-06-10,73.2925033569336,30504000
2020-06-11,70.19200134277344,39826000
2020-06-12,70.65899658203125,38928000
2020-06-15,70.99250030517578,30078000
2020-06-16,72.13600158691406,34184000
2020-06-17,72.55599975585938,30992000
2020-06-18,71.7979965209961,31638000
2020-06-19,71.58599853515625,63158000
2020-06-22,72.59300231933594,30848000
2020-06-23,73.22049713134766,28596000
2020-06-24,71.59850311279297,35120000
2020-06-25,72.06649780273438,24610000
2020-06-26,67.99500274658203,85354000
2020-06-29,69.74849700927734,36204000
2020-06-30,70.68049621582031,40848000
2020-07-01,71.9020004272461,35504000
2020-07-02,73.23500061035156,37182000
2020-07-06,74.78500366210938,31280000
2020-07-07,74.25900268554688,29164000
2020-07-08,74.80000305175781,24994000
2020-07-09,75.54949951171875,28466000
2020-07-10,77.08699798583984,37126000
2020-07-13,75.56700134277344,36928000
2020-07-14,76.02899932861328,31700000
2020-07-15,75.68199920654297,32214000
2020-07-16,75.9000015258789,30386000
2020-07-17,75.77749633789062,29134000
2020-07-20,78.28600311279297,31146000
2020-07-21,77.9209976196289,24324000
2020-07-22,78.42449951171875,18640000
2020-07-23,75.78399658203125,32552000
2020-07-24,75.59349822998047,30880000
2020-07-27,76.51000213623047,24920000
2020-07-28,75.01699829101562,34044000
2020-07-29,76.10099792480469,22130000
2020-07-30,76.57250213623047,33428000
2020-07-31,74.14800262451172,68798000
2020-08-03,73.72250366210938,46604000
2020-08-04,73.24849700927734,38070000
2020-08-05,73.68049621582031,39590000
2020-08-06,75.00499725341797,39908000
2020-08-07,74.72450256347656,31556000
2020-08-10,74.80500030517578,25786000
2020-08-11,74.01599884033203,29088000
2020-08-12,75.33100128173828,28740000
2020-08-13,75.92250061035156,29104000
2020-08-14,75.3864974975586,27096000
2020-08-17,75.89900207519531,27566000
2020-08-18,77.93000030517578,40542000
2020-08-19,77.37650299072266,33212000
2020-08-20,79.0875015258789,34138000
2020-08-21,79.02100372314453,28930000
2020-08-24,79.41000366210938,28198000
2020-08-25,80.41100311279297,44942000
2020-08-26,82.61900329589844,79868000
2020-08-27,81.71649932861328,37232000
2020-08-28,82.22049713134766,29980000
2020-08-31,81.70899963378906,36468000
2020-09-01,83.0354995727539,36506000
2020-09-02,86.41400146484375,50224000
2020-09-03,82.09200286865234,62156000
2020-09-04,79.552001953125,52172000
2020-09-08,76.61949920654297,52218000
2020-09-09,77.8479995727539,35494000
2020-09-10,76.60099792480469,32372000
2020-09-11,76.03600311279297,31942000
2020-09-14,75.96399688720703,33932000
2020-09-15,77.0719985961914,26622000
2020-09-16,76.04499816894531,26234000
2020-09-17,74.77649688720703,37596000
2020-09-18,72.99949645996094,62078000
2020-09-21,71.55799865722656,57776000
2020-09-22,73.27300262451172,31664000
2020-09-23,70.760498046875,33148000
2020-09-24,71.41449737548828,29004000
2020-09-25,72.24800109863281,26460000
2020-09-28,73.22599792480469,40158000
2020-09-29,73.46649932861328,19564000
2020-09-30,73.4800033569336,34032000
2020-10-01,74.50450134277344,35590000
2020-10-02,72.9209976196289,25682000
2020-10-05,74.3010025024414,22266000
2020-10-06,72.6719970703125,24908000
2020-10-07,73.0145034790039,34924000
2020-10-08,74.29650115966797,23756000
2020-10-09,75.76100158691406,28706000
2020-10-12,78.4574966430664,49652000
2020-10-13,78.58399963378906,32020000
2020-10-14,78.40399932861328,38586000
2020-10-15,77.95649719238281,30800000
2020-10-16,78.65049743652344,28694000
2020-10-19,76.73049926757812,32142000
2020-10-20,77.79650115966797,44834000
2020-10-21,79.66549682617188,51366000
2020-10-22,80.7665023803711,28672000
2020-10-23,82.05000305175781,27516000
2020-10-26,79.52249908447266,37066000
2020-10-27,80.21299743652344,24580000
2020-10-28,75.83100128173828,36680000
2020-10-29,78.36199951171875,40062000
2020-10-30,81.05049896240234,86582000
2020-11-02,81.30149841308594,50708000
2020-11-03,82.510498046875,33234000
2020-11-04,87.45649719238281,71418000
2020-11-05,88.16850280761719,41316000
2020-11-06,88.0875015258789,33218000
2020-11-09,88.1500015258789,45366000
2020-11-10,87.01950073242188,52722000
2020-11-11,87.635498046875,25280000
2020-11-12,87.49199676513672,24950000
2020-11-13,88.85099792480469,29998000
2020-11-16,89.06900024414062,24936000
2020-11-17,88.50749969482422,22942000
2020-11-18,87.33899688720703,23470000
2020-11-19,88.19599914550781,24998000
2020-11-20,87.1094970703125,46270000
2020-11-23,86.74299621582031,43232000
2020-11-24,88.44400024414062,31560000
2020-11-25,88.57150268554688,20916000
2020-11-27,89.65950012207031,17698000
2020-11-30,88.03700256347656,36476000
2020-12-01,89.90499877929688,34738000
2020-12-02,91.39749908447266,24440000
2020-12-03,91.3385009765625,24546000
2020-12-04,91.39949798583984,27564000
2020-12-07,90.9739990234375,26418000
2020-12-08,90.92749786376953,21926000
2020-12-09,89.20649719238281,30152000
2020-12-10,88.7665023803711,27256000
2020-12-11,89.0885009765625,24414000
2020-12-14,88.00299835205078,32004000
2020-12-15,88.38849639892578,29646000
2020-12-16,88.1500015258789,30270000
2020-12-17,87.3949966430664,32494000
2020-12-18,86.55049896240234,80328000
2020-12-21,86.96849822998047,36568000
2020-12-22,86.17500305175781,18734000
2020-12-23,86.61900329589844,20676000
2020-12-24,86.94249725341797,6936000
2020-12-28,88.80449676513672,27860000
2020-12-29,87.93599700927734,25988000
2020-12-30,86.97599792480469,26122000
2020-12-31,87.59400177001953,20238000
2021-01-04,86.41200256347656,38038000
2021-01-05,87.0459976196289,22906000
2021-01-06,86.7645034790039,52042000
2021-01-07,89.36250305175781,45300000
2021-01-08,90.3604965209961,41012000
2021-01-11,88.33599853515625,24194000
2021-01-12,87.32749938964844,27140000
2021-01-13,87.72000122070312,21882000
2021-01-14,87.00900268554688,23590000
2021-01-15,86.80950164794922,26844000
2021-01-19,89.54299926757812,34692000
2021-01-20,94.34500122070312,49806000
2021-01-21,94.5625,41278000
2021-01-22,95.05249786376953,25442000
2021-01-25,94.97000122070312,38546000
2021-01-26,95.86199951171875,26262000
2021-01-27,91.53949737548828,54966000
2021-01-28,93.15550231933594,35462000
2021-01-29,91.78700256347656,32252000
2021-02-01,95.06749725341797,32044000
2021-02-02,96.37550354003906,45474000
2021-02-03,103.50350189208984,82364000
2021-02-04,103.11849975585938,37046000
2021-02-05,104.9000015258789,30702000
2021-02-08,104.64550018310547,24838000
2021-02-09,104.17549896240234,17798000
2021-02-10,104.76899719238281,22710000
2021-02-11,104.79450225830078,18914000
2021-02-12,105.20549774169922,17114000
2021-02-16,106.09500122070312,22676000
2021-02-17,106.41549682617188,21418000
2021-02-18,105.86000061035156,22432000
2021-02-19,105.05699920654297,29148000
2021-02-22,103.24400329589844,27350000
2021-02-23,103.54299926757812,33348000
2021-02-24,104.75849914550781,24966000
2021-02-25,101.56800079345703,36568000
2021-02-26,101.84300231933594,41670000
2021-03-01,104.07550048828125,28090000
2021-03-02,103.79199981689453,22692000
2021-03-03,101.33550262451172,29684000
2021-03-04,102.45449829101562,42360000
2021-03-05,105.427001953125,43904000
2021-03-08,101.20850372314453,32948000
2021-03-09,102.63500213623047,33946000
2021-03-10,102.75150299072266,25372000
2021-03-11,105.7385025024414,24782000
2021-03-12,103.09600067138672,34516000
2021-03-15,103.32450103759766,25962000
2021-03-16,104.6259994506836,29832000
2021-03-17,104.55400085449219,25980000
2021-03-18,101.81099700927734,27228000
2021-03-19,102.16000366210938,46298000
2021-03-22,101.92949676513672,39096000
2021-03-23,102.64800262451172,27340000
2021-03-24,102.25299835205078,23080000
2021-03-25,102.21800231933594,28378000
2021-03-26,101.77749633789062,29870000
2021-03-29,102.79750061035156,24596000
2021-03-30,102.7770004272461,20732000
2021-03-31,103.43150329589844,29198000
2021-04-01,106.88749694824219,33980000
2021-04-05,111.27749633789062,43298000
2021-04-06,111.23750305175781,27060000
2021-04-07,112.48400115966797,25798000
2021-04-08,113.27200317382812,27166000
2021-04-09,114.29399871826172,20888000
2021-04-12,112.739501953125,31318000
2021-04-13,113.3635025024414,23310000
2021-04-14,112.74199676513672,20220000
2021-04-15,114.83300018310547,27472000
2021-04-16,114.88800048828125,22596000
2021-04-19,115.12000274658203,24688000
2021-04-20,114.68150329589844,21774000
2021-04-21,114.66449737548828,23930000
2021-04-22,113.39600372314453,21096000
2021-04-23,115.76499938964844,28670000
2021-04-26,116.33699798583984,20834000
2021-04-27,115.35600280761719,31972000
2021-04-28,118.99549865722656,59728000
2021-04-29,121.49449920654297,39554000
2021-04-30,120.50599670410156,39142000
2021-05-03,119.75849914550781,33788000
2021-05-04,117.7125015258789,35120000
2021-05-05,117.83699798583984,21806000
2021-05-06,119.06749725341797,20618000
2021-05-07,119.93450164794922,23272000
2021-05-10,117.08300018310547,26006000
2021-05-11,115.43800354003906,32110000
2021-05-12,111.9540023803711,34934000
2021-05-13,113.09850311279297,26670000
2021-05-14,115.80799865722656,26624000
2021-05-17,116.07050323486328,19842000
2021-05-18,115.17150115966797,17302000
2021-05-19,115.43550109863281,19350000
2021-05-20,117.80449676513672,23832000
2021-05-21,117.25499725341797,22832000
2021-05-24,120.33350372314453,21244000
2021-05-25,120.45349884033203,18838000
2021-05-26,121.67649841308594,21856000
2021-05-27,120.12550354003906,38962000
