dates,closing price,volume
2020-04-14,69.98993682861328,194994800
2020-04-15,69.35111999511719,131154400
2020-04-16,69.90216064453125,157125200
2020-04-17,68.95368194580078,215250000
2020-04-20,67.52243041992188,130015200
2020-04-21,65.43528747558594,180991600
2020-04-22,67.3200454711914,116862400
2020-04-23,67.05915832519531,124814400
2020-04-24,68.99514770507812,126161200
2020-04-27,69.04390716552734,117087600
2020-04-28,67.92474365234375,112004800
2020-04-29,70.15572357177734,137280800
2020-04-30,71.63574981689453,183064000
2020-05-01,70.48247528076172,240616800
2020-05-04,71.47972106933594,133568000
2020-05-05,72.55254364013672,147751200
2020-05-06,73.30107879638672,142333600
2020-05-07,74.05937957763672,115215200
2020-05-08,75.82210540771484,133838400
2020-05-11,77.01520538330078,145946400
2020-05-12,76.13504791259766,162301200
2020-05-13,75.2157974243164,200622400
2020-05-14,75.6778793334961,158929200
2020-05-15,75.23045349121094,166348400
2020-05-18,77.00296783447266,135178400
2020-05-19,76.55802917480469,101729600
2020-05-20,78.04693603515625,111504800
2020-05-21,77.4650650024414,102688800
2020-05-22,77.96379852294922,81803200
2020-05-26,77.43572235107422,125522000
2020-05-27,77.7730941772461,112945200
2020-05-28,77.80732727050781,133560800
2020-05-29,77.73153686523438,153532400
2020-06-01,78.68748474121094,80791200
2020-06-02,79.05175018310547,87642800
2020-06-03,79.48694610595703,104491200
2020-06-04,78.80239868164062,87560400
2020-06-05,81.04676818847656,137250400
2020-06-08,81.52595520019531,95654400
2020-06-09,84.10037231445312,147712400
2020-06-10,86.26406860351562,166651600
2020-06-11,82.12248992919922,201662400
2020-06-12,82.83149719238281,200146000
2020-06-15,83.85588836669922,138808800
2020-06-16,86.0782699584961,165428800
2020-06-17,85.95845794677734,114406400
2020-06-18,85.99269104003906,96820400
2020-06-19,85.50126647949219,264476000
2020-06-22,87.73831176757812,135445200
2020-06-23,89.61106872558594,212155600
2020-06-24,88.02924346923828,192623200
2020-06-25,89.19788360595703,137522400
2020-06-26,86.45720672607422,205256800
2020-06-29,88.44977569580078,130646000
2020-06-30,89.1881103515625,140223200
2020-07-01,89.01940155029297,110737200
2020-07-02,89.01940155029297,114041600
2020-07-06,91.40068817138672,118655600
2020-07-07,91.11710357666016,112424400
2020-07-08,93.23921966552734,117092000
2020-07-09,93.64017486572266,125642800
2020-07-10,93.80398559570312,90257200
2020-07-13,93.37124633789062,191649200
2020-07-14,94.91638946533203,170989200
